Epoch [1/150] | Train Loss: 1.9854 | Train Acc: 26.63% | Val Loss: 2.1144 | Val Acc: 20.66% | LR: 0.000012
Epoch [2/150] | Train Loss: 1.7781 | Train Acc: 34.33% | Val Loss: 1.9017 | Val Acc: 29.03% | LR: 0.000013
Epoch [3/150] | Train Loss: 1.6987 | Train Acc: 37.43% | Val Loss: 1.7543 | Val Acc: 35.33% | LR: 0.000015
Epoch [4/150] | Train Loss: 1.6448 | Train Acc: 39.89% | Val Loss: 1.6757 | Val Acc: 38.32% | LR: 0.000018
Epoch [5/150] | Train Loss: 1.5874 | Train Acc: 41.85% | Val Loss: 1.6197 | Val Acc: 41.16% | LR: 0.000021
Epoch [6/150] | Train Loss: 1.5435 | Train Acc: 43.60% | Val Loss: 1.5486 | Val Acc: 43.38% | LR: 0.000024
Epoch [7/150] | Train Loss: 1.5168 | Train Acc: 44.91% | Val Loss: 1.4803 | Val Acc: 45.98% | LR: 0.000029
Epoch [8/150] | Train Loss: 1.4664 | Train Acc: 46.74% | Val Loss: 1.4208 | Val Acc: 48.52% | LR: 0.000034
Epoch [9/150] | Train Loss: 1.4354 | Train Acc: 48.03% | Val Loss: 1.3679 | Val Acc: 51.06% | LR: 0.000040
Epoch [10/150] | Train Loss: 1.4052 | Train Acc: 49.21% | Val Loss: 1.3119 | Val Acc: 52.37% | LR: 0.000046
Epoch [11/150] | Train Loss: 1.3728 | Train Acc: 50.13% | Val Loss: 1.2907 | Val Acc: 53.85% | LR: 0.000052
Epoch [12/150] | Train Loss: 1.3300 | Train Acc: 51.96% | Val Loss: 1.2614 | Val Acc: 54.97% | LR: 0.000060
Epoch [13/150] | Train Loss: 1.3008 | Train Acc: 53.02% | Val Loss: 1.1779 | Val Acc: 57.90% | LR: 0.000067
Epoch [14/150] | Train Loss: 1.2732 | Train Acc: 54.20% | Val Loss: 1.1600 | Val Acc: 58.23% | LR: 0.000075
Epoch [15/150] | Train Loss: 1.2377 | Train Acc: 55.32% | Val Loss: 1.0933 | Val Acc: 60.64% | LR: 0.000084
Epoch [16/150] | Train Loss: 1.2048 | Train Acc: 56.43% | Val Loss: 1.0565 | Val Acc: 62.14% | LR: 0.000093
Epoch [17/150] | Train Loss: 1.1768 | Train Acc: 57.73% | Val Loss: 1.0231 | Val Acc: 63.29% | LR: 0.000102
Epoch [18/150] | Train Loss: 1.1477 | Train Acc: 58.70% | Val Loss: 0.9845 | Val Acc: 64.24% | LR: 0.000112
Epoch [19/150] | Train Loss: 1.1239 | Train Acc: 59.66% | Val Loss: 0.9524 | Val Acc: 65.77% | LR: 0.000121
Epoch [20/150] | Train Loss: 1.0952 | Train Acc: 60.87% | Val Loss: 0.9129 | Val Acc: 66.95% | LR: 0.000131
Epoch [21/150] | Train Loss: 1.0669 | Train Acc: 61.96% | Val Loss: 0.8744 | Val Acc: 68.64% | LR: 0.000141
Epoch [22/150] | Train Loss: 1.0391 | Train Acc: 62.88% | Val Loss: 0.8578 | Val Acc: 69.16% | LR: 0.000151
Epoch [23/150] | Train Loss: 1.0198 | Train Acc: 63.63% | Val Loss: 0.8286 | Val Acc: 70.45% | LR: 0.000161
Epoch [24/150] | Train Loss: 0.9867 | Train Acc: 64.98% | Val Loss: 0.8018 | Val Acc: 71.42% | LR: 0.000171
Epoch [25/150] | Train Loss: 0.9726 | Train Acc: 65.81% | Val Loss: 0.7787 | Val Acc: 72.50% | LR: 0.000181
Epoch [26/150] | Train Loss: 0.9457 | Train Acc: 66.22% | Val Loss: 0.7458 | Val Acc: 73.26% | LR: 0.000191
Epoch [27/150] | Train Loss: 0.9338 | Train Acc: 66.94% | Val Loss: 0.7258 | Val Acc: 74.20% | LR: 0.000201
Epoch [28/150] | Train Loss: 0.9065 | Train Acc: 67.77% | Val Loss: 0.7103 | Val Acc: 74.79% | LR: 0.000210
Epoch [29/150] | Train Loss: 0.8885 | Train Acc: 68.62% | Val Loss: 0.6780 | Val Acc: 76.03% | LR: 0.000219
Epoch [30/150] | Train Loss: 0.8657 | Train Acc: 69.51% | Val Loss: 0.6600 | Val Acc: 76.98% | LR: 0.000228
Epoch [31/150] | Train Loss: 0.8563 | Train Acc: 69.69% | Val Loss: 0.6538 | Val Acc: 77.15% | LR: 0.000237
Epoch [32/150] | Train Loss: 0.8243 | Train Acc: 70.94% | Val Loss: 0.6276 | Val Acc: 77.94% | LR: 0.000245
Epoch [33/150] | Train Loss: 0.8136 | Train Acc: 71.10% | Val Loss: 0.6167 | Val Acc: 78.64% | LR: 0.000252
Epoch [34/150] | Train Loss: 0.7924 | Train Acc: 71.99% | Val Loss: 0.5902 | Val Acc: 79.93% | LR: 0.000260
